STD_YM,BLOCK_CD,X_COORD,Y_COORD,FLOW_POP_CNT_MON,FLOW_POP_CNT_TUS,FLOW_POP_CNT_WED,FLOW_POP_CNT_THU,FLOW_POP_CNT_FRI,FLOW_POP_CNT_SAT,FLOW_POP_CNT_SUN
202001,3.63303E+19,1000033.992,1695979.147,0.02,0.02,0.02,0.02,0.02,0,0
202001,3.63304E+19,1000033.992,1700579.147,0.9,0.69,2.22,0.79,1.13,3.58,5.23
202001,3.63304E+19,1000033.992,1700629.147,2.56,2.08,8.14,2.77,4.31,12.8,19.51
202001,3.50503E+19,1000033.992,1709979.147,0.97,0.92,0.94,0.92,1.15,1.29,1.22
202001,3.50503E+19,1000033.992,1710029.147,1.52,1.45,1.54,1.43,1.94,2.56,2.44
202001,3.50503E+19,1000033.992,1710079.147,14.89,14.34,12.7,13.3,15.31,16.76,15.59
202001,3.50503E+19,1000033.992,1710129.147,0,0,0,0,0.02,0.05,0.04
202001,3.50503E+19,1000033.992,1710179.147,3.32,3.16,3.51,3.13,4.5,6.57,6.23
202001,3.50503E+19,1000033.992,1710979.147,0,0,0,0.02,0.02,0,0
202001,3.50503E+19,1000033.992,1711429.147,0.02,0.02,0.02,0.02,0.02,0.02,0.02
202001,3.50503E+19,1000033.992,1711879.147,0.72,0.69,0.83,0.79,1.09,1.61,1.7
202001,3.50503E+19,1000033.992,1711979.147,0.85,0.92,0.9,0.97,1.27,1.64,1.61
202001,3.50504E+19,1000033.992,1716529.147,8.02,8.35,8.26,8.46,9.08,10.98,9.75
202001,3.50504E+19,1000033.992,1716579.147,5.69,6.09,5.63,6.16,6.3,6.57,5.84
202001,3.50504E+19,1000033.992,1716679.147,47.06,49.04,46.9,49.71,51.26,54.18,48.03
202001,3.50504E+19,1000033.992,1716779.147,85.96,92.02,84.83,93.16,94.88,97.53,86.88
202001,3.50501E+19,1000033.992,1716829.147,22.97,26.4,22.9,26.65,27.32,30.23,27.23
202001,3.50501E+19,1000033.992,1717079.147,0,0,0,0.09,0.02,0,0
202001,3.50501E+19,1000033.992,1717129.147,3.23,4.47,4.03,4.94,6.04,5.81,3.21
202001,3.50501E+19,1000033.992,1717179.147,0.65,0.81,0.81,0.78,1.18,2.19,1.61
202001,3.50501E+19,1000033.992,1717479.147,2.28,2.84,2.38,2.72,3.05,3.58,2.63
202001,3.50501E+19,1000033.992,1717529.147,2.14,2.67,2.22,2.6,2.86,3.34,2.45
202001,3.50501E+19,1000033.992,1717579.147,0.79,1.01,0.81,0.97,1.02,1.08,0.79
202001,3.50501E+19,1000033.992,1717629.147,2.65,2.75,2.49,2.58,4.06,6,3.74
202001,3.50501E+19,1000033.992,1717679.147,0,0,0,0.02,0,0,0
202001,3.50501E+19,1000033.992,1717729.147,2.47,3.3,2.83,3.5,3.9,3.46,2.15
202001,3.50501E+19,1000033.992,1717829.147,0,0,0,0.02,0,0,0
202001,3.50504E+19,1000033.992,1721229.147,7.63,6.67,6.89,7.01,9.15,13.14,11.76
202001,3.50504E+19,1000033.992,1722029.147,2,2.08,2.1,2.08,2.47,3.11,2.58
202001,3.50504E+19,1000033.992,1722079.147,1.27,1.32,1.32,1.32,1.55,1.92,1.59
202001,3.50504E+19,1000033.992,1722429.147,0.14,0.12,0.09,0.12,0.09,0.02,0
202001,3.50504E+19,1000033.992,1722579.147,0.05,0.05,0.04,0.05,0.04,0,0
202001,3.53403E+19,1000033.992,1726929.147,0.18,0.18,0.16,0.19,0.19,0.21,0.21
202001,3.53403E+19,1000033.992,1726979.147,0.23,0.23,0.21,0.25,0.26,0.26,0.28
202001,3.53403E+19,1000033.992,1727279.147,1.27,1.27,1.27,1.36,1.57,2.05,2.12
202001,3.53403E+19,1000033.992,1727329.147,1.61,1.61,1.57,1.73,1.96,2.47,2.54
202001,3.53403E+19,1000033.992,1727479.147,0.09,0.09,0.07,0.09,0.09,0.11,0.11
202001,3.53403E+19,1000033.992,1727579.147,41.41,41.58,40.38,44.69,50.04,60.46,62.24
202001,3.53403E+19,1000033.992,1727629.147,41.41,41.58,40.38,44.69,50.04,60.46,62.24
202001,3.53403E+19,1000033.992,1727679.147,41.41,41.58,40.38,44.69,50.04,60.46,62.24
202001,3.53403E+19,1000033.992,1731529.147,1.48,1.43,1.57,1.57,2.19,2.84,2.3
202001,3.53403E+19,1000033.992,1731579.147,1.94,1.87,2.03,2.05,2.79,3.48,2.81
202001,3.53403E+19,1000033.992,1731629.147,1.94,1.87,2.03,2.05,2.79,3.48,2.81
202001,3.53403E+19,1000033.992,1731679.147,0.37,0.35,0.39,0.39,0.51,0.62,0.49
202001,3.53403E+19,1000033.992,1731729.147,0.64,0.6,0.6,0.64,0.79,0.97,0.79
202001,3.53401E+19,1000033.992,1732379.147,6.07,6.41,6.16,6.94,8.58,15.38,11.09
202001,3.53401E+19,1000033.992,1732429.147,6.07,6.41,6.16,6.94,8.58,15.38,11.09
202001,3.53401E+19,1000033.992,1732679.147,0.11,0.11,0.11,0.12,0.14,0.14,0.14
202001,3.53401E+19,1000033.992,1732729.147,0.3,0.3,0.32,0.28,0.42,0.44,0.35
202001,3.53401E+19,1000033.992,1732779.147,2,1.96,2.17,1.94,2.77,2.95,2.35
202001,3.53401E+19,1000033.992,1732829.147,0.92,1.06,0.95,1.08,1.29,1.36,1.34
202001,3.53401E+19,1000033.992,1732879.147,0.99,1.13,1.04,1.15,1.47,1.66,1.66
202001,3.53401E+19,1000033.992,1732929.147,0.81,0.94,0.87,0.95,1.24,1.43,1.43
